,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene symbol
,,,,,,,
ENSG00000096060,2104.788958,-4.41899174,0.17188267,-25.70935008,9.19E-146,1.61E-141,FKBP5
ENSG00000282458,1731.088898,-4.424422208,0.212189696,-20.8512585,1.48E-96,1.30E-92,-
ENSG00000113742,477.9371278,-4.383744161,0.228994576,-19.14344105,1.10E-81,6.41E-78,CPEB4
ENSG00000108666,350.1671185,4.236186226,0.227169349,18.64770153,1.32E-77,5.77E-74,C17orf75
ENSG00000137193,597.6256325,-6.295058779,0.345855332,-18.20142181,5.03E-74,1.76E-70,PIM1
ENSG00000164934,259.1674026,-5.305148648,0.30823801,-17.21120849,2.19E-66,6.39E-63,DCAF13
ENSG00000130592,507.9372195,-3.589867777,0.209524227,-17.13342572,8.36E-66,2.09E-62,LSP1
ENSG00000153037,373.1652765,-4.131567728,0.241461384,-17.11067691,1.24E-65,2.70E-62,SRP19
ENSG00000198805,321.5335546,-5.652719587,0.332738729,-16.98846298,1.00E-64,1.94E-61,PNP
ENSG00000176986,463.3009044,-4.293993532,0.257282244,-16.68981687,1.55E-62,2.72E-59,SEC24C
ENSG00000135535,1927.304989,-3.136880545,0.188668391,-16.62642338,4.49E-62,7.14E-59,CD164
ENSG00000122884,1306.690437,-4.613792295,0.278774742,-16.55025223,1.59E-61,2.33E-58,P4HA1
ENSG00000091157,306.3931059,-6.710245603,0.406961925,-16.48863247,4.43E-61,5.96E-58,WDR7
ENSG00000135316,351.0098329,-4.146153011,0.253256199,-16.37137821,3.06E-60,3.83E-57,SYNCRIP
ENSG00000172845,386.5960551,-4.251517961,0.26054648,-16.31769486,7.39E-60,8.62E-57,SP3
ENSG00000120802,286.8688413,-4.904723917,0.302935596,-16.19064907,5.87E-59,6.42E-56,TMPO
ENSG00000110321,1416.888981,-2.666118748,0.170824562,-15.60735009,6.49E-55,6.68E-52,EIF4G2
ENSG00000142733,167.8027792,-5.37032887,0.349805484,-15.35232897,3.42E-53,3.32E-50,MAP3K6
ENSG00000152332,362.2533236,-3.927062994,0.258968924,-15.16422485,6.10E-52,5.62E-49,UHMK1
ENSG00000133048,1987.785084,-10.05453854,0.667748876,-15.05736498,3.09E-51,2.70E-48,CHI3L1
ENSG00000163823,873.441518,-2.585696738,0.171811486,-15.04961514,3.47E-51,2.90E-48,CCR1
ENSG00000100523,161.5669788,-5.982245215,0.400799213,-14.92579083,2.24E-50,1.78E-47,DDHD1
ENSG00000068366,317.1463894,-4.897003796,0.33338075,-14.68892187,7.59E-49,5.78E-46,ACSL4
ENSG00000115970,267.4280005,-5.098088044,0.348694103,-14.62051695,2.08E-48,1.52E-45,THADA
ENSG00000109971,7791.607323,-2.361374883,0.161881863,-14.5870256,3.40E-48,2.29E-45,HSPA8
ENSG00000138442,190.8015126,-5.549991855,0.380414992,-14.58930896,3.29E-48,2.29E-45,WDR12
ENSG00000166295,650.8663336,-2.697366478,0.186950777,-14.4282175,3.44E-47,2.23E-44,ANAPC16
ENSG00000134755,505.478582,-3.196518939,0.222185304,-14.38672533,6.27E-47,3.92E-44,DSC2
ENSG00000170017,350.89273,-3.11277891,0.2191378,-14.20466443,8.57E-46,5.17E-43,ALCAM
ENSG00000106460,273.9479879,-3.613684705,0.254670649,-14.18963952,1.06E-45,6.20E-43,TMEM106B
ENSG00000139572,355.3316861,-3.614151967,0.257055533,-14.05981003,6.71E-45,3.79E-42,GPR84
ENSG00000168906,3325.574751,-2.040136543,0.145647172,-14.00738869,1.40E-44,7.69E-42,MAT2A
ENSG00000065150,307.2930755,-3.684728481,0.263495998,-13.98400167,1.95E-44,1.04E-41,IPO5
ENSG00000107959,238.3393105,-3.867855896,0.280617174,-13.78338981,3.21E-43,1.65E-40,PITRM1
ENSG00000166598,4132.520948,-2.094462676,0.151989517,-13.78031014,3.35E-43,1.68E-40,HSP90B1
ENSG00000132286,319.1013502,-4.585886427,0.33328736,-13.75955702,4.46E-43,2.17E-40,TIMM10B
ENSG00000174123,335.2579892,-3.496767884,0.257939865,-13.55652367,7.25E-42,3.43E-39,TLR10
ENSG00000177119,331.4076837,-4.920173608,0.363528076,-13.53450789,9.78E-42,4.51E-39,ANO6
ENSG00000225840,117711.3995,1.940428178,0.143403993,13.53120049,1.02E-41,4.59E-39,-
ENSG00000068796,227.5932382,-4.012545634,0.296936755,-13.51313222,1.31E-41,5.73E-39,KIF2A
ENSG00000058272,444.1467115,-2.737472957,0.202751463,-13.50161878,1.53E-41,6.53E-39,PPP1R12A
ENSG00000185009,341.3915608,-2.996538744,0.222273008,-13.48134337,2.01E-41,8.40E-39,AP3M1
ENSG00000140749,310.975976,4.223120563,0.314997877,13.4068223,5.52E-41,2.25E-38,IGSF6
ENSG00000172716,268.3416922,-4.758704566,0.355082159,-13.4017,5.91E-41,2.35E-38,SLFN11
ENSG00000103381,183.2258815,-3.776395612,0.282674608,-13.35951482,1.04E-40,4.06E-38,CPPED1
ENSG00000114841,510.9760129,2.863962512,0.214743889,13.33664266,1.42E-40,5.39E-38,DNAH1
ENSG00000136167,2743.786253,-1.952747149,0.14754118,-13.23526861,5.49E-40,2.05E-37,LCP1
ENSG00000082781,490.9094816,2.704574956,0.204386479,13.23265106,5.68E-40,2.07E-37,ITGB5
ENSG00000143093,222.2190278,-3.706241791,0.281101457,-13.18471214,1.07E-39,3.84E-37,STRIP1
ENSG00000017427,207.0067138,4.365783847,0.331365819,13.17511825,1.22E-39,4.27E-37,IGF1
ENSG00000135720,232.1964737,-4.061610277,0.308325835,-13.17311044,1.25E-39,4.30E-37,DYNC1LI2
ENSG00000149591,165.2967617,4.215710117,0.320967372,13.13438836,2.09E-39,7.04E-37,TAGLN
ENSG00000112584,719.1316814,2.802823835,0.213422666,13.13273744,2.14E-39,7.06E-37,FAM120B
ENSG00000138641,442.8714573,-3.32689248,0.253547752,-13.12136454,2.48E-39,8.05E-37,HERC3
ENSG00000142961,241.6221455,-3.589920286,0.273837961,-13.10965169,2.90E-39,9.23E-37,MOB3C
ENSG00000143891,286.4673182,3.08539401,0.235397903,13.10714316,3.00E-39,9.37E-37,GALM
ENSG00000152256,1136.201539,-7.482151499,0.572489768,-13.06949385,4.92E-39,1.51E-36,PDK1
ENSG00000127955,125.8674694,-6.840351315,0.524672353,-13.03737708,7.50E-39,2.26E-36,GNAI1
ENSG00000107651,239.7564977,-3.08472884,0.236744195,-13.02979715,8.28E-39,2.46E-36,SEC23IP
ENSG00000100991,374.9309288,-4.587297743,0.354372849,-12.9448341,2.51E-38,7.33E-36,TRPC4AP
ENSG00000221963,207.1864413,-4.008080588,0.310319551,-12.91597832,3.66E-38,1.05E-35,APOL6
ENSG00000116679,875.6175229,-2.348151282,0.182178282,-12.88930415,5.17E-38,1.46E-35,IVNS1ABP
ENSG00000143622,322.2914194,3.111694263,0.241486305,12.88559311,5.43E-38,1.51E-35,RIT1
ENSG00000174125,1102.911163,-2.126119416,0.165023359,-12.88374826,5.56E-38,1.52E-35,TLR1
ENSG00000168283,231.4760541,-3.682184172,0.286208241,-12.86540235,7.05E-38,1.90E-35,BMI1
ENSG00000215788,310.3057054,2.888855019,0.224664729,12.858516,7.70E-38,2.04E-35,TNFRSF25
ENSG00000120889,465.2557696,-2.587296951,0.201390033,-12.84719461,8.92E-38,2.33E-35,TNFRSF10B
ENSG00000110422,436.8474727,-3.377326539,0.262954295,-12.84377784,9.32E-38,2.40E-35,HIPK3
ENSG00000143970,374.3372667,2.513385111,0.196323916,12.80223603,1.59E-37,4.04E-35,ASXL2
ENSG00000127314,766.1310295,-3.986408626,0.311754031,-12.78703155,1.94E-37,4.85E-35,RAP1B
ENSG00000169359,445.3605472,-3.117362048,0.244069957,-12.77241199,2.34E-37,5.77E-35,SLC33A1
ENSG00000151835,156.2192637,3.454421777,0.270651861,12.7633402,2.63E-37,6.39E-35,SACS
ENSG00000126067,284.5722456,-4.115207102,0.323164663,-12.73408751,3.82E-37,9.17E-35,PSMB2
ENSG00000162695,264.6510186,-3.755958989,0.295812793,-12.69708098,6.14E-37,1.45E-34,SLC30A7
ENSG00000148841,382.0395149,-3.020226077,0.238069485,-12.68632169,7.04E-37,1.64E-34,ITPRIP
ENSG00000113140,87.6535807,6.035889032,0.47730878,12.64566939,1.18E-36,2.72E-34,SPARC
ENSG00000138071,689.098553,-2.303473251,0.182267748,-12.63785435,1.31E-36,2.97E-34,ACTR2
ENSG00000161217,228.6948533,-3.437515213,0.272097648,-12.63338817,1.38E-36,3.10E-34,PCYT1A
ENSG00000102218,196.8321579,-5.591452799,0.442812285,-12.62714018,1.50E-36,3.32E-34,RP2
ENSG00000237440,217.6272533,-4.559760001,0.362579786,-12.57588034,2.87E-36,6.27E-34,ZNF737
ENSG00000088930,479.2998955,-3.845521446,0.30706055,-12.52365845,5.54E-36,1.20E-33,XRN2
ENSG00000168256,142.7547092,-5.250255999,0.41948082,-12.51608117,6.10E-36,1.30E-33,NKIRAS2
ENSG00000130517,394.2267186,3.372661094,0.270378627,12.47384503,1.04E-35,2.19E-33,PGPEP1
ENSG00000006125,373.5637,-2.64680399,0.212207059,-12.47274242,1.05E-35,2.19E-33,AP2B1
ENSG00000229474,114.4847879,4.417098242,0.354507993,12.45979873,1.24E-35,2.55E-33,PATL2
ENSG00000158615,218.3643349,-3.900523118,0.313643189,-12.43617987,1.66E-35,3.39E-33,PPP1R15B
ENSG00000115525,483.7617822,3.243134075,0.261003463,12.42563619,1.90E-35,3.82E-33,ST3GAL5
ENSG00000100600,741.3138767,2.512334877,0.202756477,12.39089825,2.93E-35,5.82E-33,LGMN
ENSG00000115107,696.2854044,-2.16347728,0.175306507,-12.34111225,5.44E-35,1.07E-32,STEAP3
ENSG00000100596,1566.273311,-2.27554985,0.184867918,-12.30905758,8.10E-35,1.58E-32,SPTLC2
ENSG00000067704,198.5344795,-5.004250247,0.407050925,-12.2939169,9.77E-35,1.88E-32,IARS2
ENSG00000095139,360.3555766,-3.700526582,0.303834679,-12.1794082,4.00E-34,7.62E-32,ARCN1
ENSG00000198105,170.0965149,-3.672002397,0.302833033,-12.12550148,7.74E-34,1.46E-31,ZNF248
ENSG00000184226,135.1009692,3.670117813,0.304062327,12.07028126,1.52E-33,2.82E-31,PCDH9
ENSG00000180747,422.7185188,-3.854634166,0.32008356,-12.04258713,2.12E-33,3.91E-31,-
ENSG00000173559,807.2886211,-2.636384197,0.220030267,-11.98191607,4.42E-33,8.06E-31,NABP1
ENSG00000141232,523.6477512,3.185547268,0.266113775,11.97062146,5.06E-33,9.14E-31,TOB1
ENSG00000111897,1032.666808,-2.345484624,0.195999896,-11.96676463,5.31E-33,9.48E-31,SERINC1
ENSG00000198695,658.0669625,-2.154286067,0.180123098,-11.96007668,5.75E-33,1.02E-30,ND6
ENSG00000125810,534.9003499,-3.746676806,0.313415297,-11.95435208,6.16E-33,1.08E-30,CD93
ENSG00000001461,174.1069649,-4.117183665,0.344445978,-11.95306065,6.26E-33,1.08E-30,NIPAL3
ENSG00000149256,118.0395799,-6.357985798,0.531950812,-11.9522062,6.32E-33,1.09E-30,TENM4
ENSG00000100580,210.4366076,-3.462248567,0.290952491,-11.89970416,1.19E-32,2.02E-30,TMED8
ENSG00000198833,257.9194611,-6.205954946,0.521700587,-11.89562576,1.25E-32,2.10E-30,UBE2J1
ENSG00000198837,629.6213379,-2.464222506,0.207432578,-11.8796311,1.51E-32,2.52E-30,DENND4B
ENSG00000198223,1574.15921,1.870554545,0.158036459,11.83622155,2.54E-32,4.19E-30,CSF2RA
ENSG00000131473,355.3904883,-2.519658745,0.21303494,-11.82744361,2.82E-32,4.61E-30,ACLY
ENSG00000184005,185.4465863,-3.81004714,0.322337579,-11.82005262,3.07E-32,4.99E-30,ST6GALNAC3
ENSG00000110074,108.2482755,-5.454802513,0.465487089,-11.71848294,1.02E-31,1.65E-29,FOXRED1
ENSG00000163812,255.1407271,-3.273821316,0.279480976,-11.71393259,1.08E-31,1.72E-29,ZDHHC3
ENSG00000175575,301.4779988,2.981467003,0.254940974,11.69473451,1.36E-31,2.14E-29,PAAF1
ENSG00000259494,102.3389749,-3.825863128,0.328344354,-11.65198389,2.24E-31,3.50E-29,MRPL46
ENSG00000134262,162.8333909,-4.425180768,0.38025362,-11.63744547,2.66E-31,4.12E-29,AP4B1
ENSG00000139178,125.5237855,-3.311112616,0.284943589,-11.62023903,3.25E-31,5.00E-29,C1RL
ENSG00000124225,218.1326776,2.824170603,0.24374952,11.58636375,4.83E-31,7.36E-29,PMEPA1
ENSG00000158985,524.7448156,-2.202971678,0.190198301,-11.58249925,5.06E-31,7.63E-29,CDC42SE2
ENSG00000184575,337.4643109,-3.57423618,0.30899011,-11.5674776,6.02E-31,9.01E-29,XPOT
ENSG00000170802,145.3858016,-4.454538406,0.385458562,-11.55646507,6.85E-31,1.02E-28,FOXN2
ENSG00000138376,272.2635529,2.778263646,0.240793975,11.53792842,8.49E-31,1.25E-28,BARD1
ENSG00000164654,237.8947517,-2.983119202,0.258967083,-11.51929876,1.05E-30,1.54E-28,MIOS
ENSG00000145332,168.0367071,-4.793941238,0.418361598,-11.45884627,2.12E-30,3.07E-28,KLHL8
ENSG00000175137,103.9363937,4.867883061,0.42513134,11.45030395,2.34E-30,3.36E-28,SH3BP5L
ENSG00000058804,142.895774,-3.927277954,0.343124316,-11.44564163,2.47E-30,3.52E-28,NDC1
ENSG00000005156,123.597702,-5.965824163,0.521263613,-11.44492731,2.49E-30,3.52E-28,LIG3
ENSG00000085377,174.9750751,-3.250406375,0.284918613,-11.40819245,3.81E-30,5.33E-28,PREP
ENSG00000121579,240.8573844,-2.925931617,0.257058914,-11.38233866,5.12E-30,7.12E-28,NAA50
ENSG00000151117,350.9550142,3.924456324,0.34483612,11.38064168,5.22E-30,7.20E-28,TMEM86A
ENSG00000176953,369.6137472,2.542441137,0.2258998,11.25472949,2.19E-29,3.00E-27,NFATC2IP
ENSG00000160791,261.1976855,-3.319458672,0.296009652,-11.21402173,3.48E-29,4.72E-27,CCR5
ENSG00000041802,220.6639216,-4.367531087,0.389863387,-11.20272185,3.95E-29,5.33E-27,LSG1
ENSG00000166170,141.0617196,-4.736390602,0.423082394,-11.19496029,4.32E-29,5.77E-27,BAG5
ENSG00000099246,344.9444588,-3.974409033,0.35557312,-11.17747323,5.26E-29,6.97E-27,RAB18
ENSG00000198246,637.5313375,2.049847399,0.183455707,11.17352755,5.50E-29,7.23E-27,SLC29A3
ENSG00000138073,216.07802,-4.282001534,0.383384554,-11.16894639,5.79E-29,7.56E-27,PREB
ENSG00000215126,214.4833801,-2.808583476,0.252038416,-11.14347375,7.71E-29,9.99E-27,CBWD6
ENSG00000240849,128.3633397,-4.420054397,0.397205182,-11.12788705,9.18E-29,1.18E-26,PEDS1
ENSG00000182022,513.2084228,-3.430359801,0.30905712,-11.09943626,1.26E-28,1.61E-26,CHST15
ENSG00000171680,118.2879167,3.401299936,0.306723717,11.0891325,1.42E-28,1.80E-26,PLEKHG5
ENSG00000100461,424.9832492,-2.216772474,0.200897441,-11.03434899,2.61E-28,3.26E-26,RBM23
ENSG00000134285,79.20547632,-5.534612824,0.501564395,-11.03470038,2.60E-28,3.26E-26,FKBP11
ENSG00000142186,204.1654742,-2.771647618,0.251266933,-11.0306899,2.72E-28,3.37E-26,SCYL1
ENSG00000148175,2396.993058,-2.447952552,0.222007004,-11.02646544,2.85E-28,3.51E-26,STOM
ENSG00000184164,198.2443013,-3.52162254,0.319577534,-11.01961859,3.07E-28,3.76E-26,CRELD2
ENSG00000168026,126.1874757,3.663329298,0.332646468,11.01268057,3.32E-28,4.04E-26,TTC21A
ENSG00000104974,163.7524082,-3.703145857,0.337022485,-10.98783025,4.37E-28,5.27E-26,LILRA1
ENSG00000108654,9395.942911,-1.589380739,0.144655996,-10.98731324,4.40E-28,5.27E-26,DDX5
ENSG00000225210,82.91008281,4.401459001,0.400797799,10.98174445,4.68E-28,5.57E-26,-
ENSG00000101911,165.3578081,-3.170464229,0.28911567,-10.96607539,5.56E-28,6.58E-26,PRPS2
ENSG00000079215,6980.413345,-2.124615564,0.193960736,-10.95384361,6.37E-28,7.48E-26,SLC1A3
ENSG00000137547,378.3618249,2.112440263,0.193236737,10.93187714,8.12E-28,9.47E-26,MRPL15
ENSG00000110844,149.1624214,3.999349898,0.365994524,10.92734901,8.53E-28,9.89E-26,PRPF40B
ENSG00000128534,269.0360052,-3.102833592,0.284102501,-10.92152859,9.10E-28,1.05E-25,LSM8
ENSG00000179583,3153.805775,2.353121766,0.216014267,10.89336271,1.24E-27,1.42E-25,CIITA
ENSG00000100941,1283.550163,1.791341781,0.16460815,10.88246107,1.40E-27,1.59E-25,PNN
ENSG00000106608,127.1992222,-3.16336025,0.291280469,-10.86018663,1.78E-27,2.02E-25,URGCP
ENSG00000164751,136.8896487,-5.129992504,0.473013632,-10.84533755,2.10E-27,2.36E-25,PEX2
ENSG00000185946,714.1573595,2.716812338,0.251011928,10.8234392,2.67E-27,2.97E-25,RNPC3
ENSG00000058668,418.4398047,-2.915608684,0.269926712,-10.80148261,3.39E-27,3.75E-25,ATP2B4
ENSG00000143442,585.840639,2.157661242,0.200233354,10.7757334,4.48E-27,4.94E-25,POGZ
ENSG00000188933,297.8810469,-2.724365403,0.252932297,-10.77112505,4.71E-27,5.16E-25,FAM106C
ENSG00000140968,2294.654746,-1.803042447,0.167612412,-10.75721315,5.48E-27,5.96E-25,IRF8
ENSG00000147853,185.4338268,-2.767436078,0.257458962,-10.74903766,5.99E-27,6.47E-25,AK3
ENSG00000215910,55.04298103,5.056740134,0.47056037,10.74620912,6.17E-27,6.63E-25,C1orf167
ENSG00000101265,963.5874657,-1.889139724,0.176021721,-10.73242387,7.17E-27,7.65E-25,RASSF2
ENSG00000243927,225.4712915,-2.814995525,0.262675285,-10.71663642,8.50E-27,9.02E-25,MRPS6
ENSG00000106829,162.0686929,-5.22012273,0.48733752,-10.71151413,8.99E-27,9.48E-25,TLE4
ENSG00000142867,139.2610418,-4.53518705,0.423423211,-10.71076628,9.06E-27,9.50E-25,BCL10
ENSG00000084731,133.4949225,-4.754265031,0.445269141,-10.6772839,1.30E-26,1.36E-24,KIF3C
ENSG00000121964,356.5374113,-3.177816183,0.297939124,-10.66599157,1.47E-26,1.52E-24,GTDC1
ENSG00000101751,210.3497612,-3.638295523,0.341271083,-10.66101321,1.55E-26,1.60E-24,POLI
ENSG00000184500,244.8883152,-3.291174645,0.309002586,-10.65096148,1.73E-26,1.77E-24,PROS1
ENSG00000065154,202.2533157,-3.251922822,0.305764706,-10.63537666,2.04E-26,2.08E-24,OAT
ENSG00000117000,176.8510162,-3.778288421,0.355667698,-10.62308564,2.33E-26,2.36E-24,RLF
ENSG00000066294,2120.81148,2.062578217,0.194873993,10.58416358,3.53E-26,3.55E-24,CD84
