Gene_symbol,NAME,Foldchange,PValue,FDR,MIB1,MIB2,MIB3,MIB4,MIB5,M1,M2,M3,M4,M5
Aaas,"achalasia, adrenocortical insufficiency, alacrimia",1.432986643,0.000194809,0.001183466,22.18613612,22.95943751,23.25458115,20.16966535,23.16032805,14.99468403,14.09904798,16.47970394,15.97815766,16.43173342
Aadat,aminoadipate aminotransferase,-1.642417252,0.000197656,0.001196949,14.58584767,12.93248713,10.66112603,6.953075521,11.27615017,15.58271085,14.1495822,21.68704533,22.28371413,19.06960367
Aagab,alpha- and gamma-adaptin binding protein,-1.264475772,0.009631001,0.032800046,21.68317585,22.44669573,23.92090152,16.77932275,20.12018953,28.04887954,26.6820693,27.07817524,25.83441583,25.00481173
Aak1,AP2 associated kinase 1,-1.526514016,0.000525428,0.002769589,258.7451139,331.2881616,351.6172628,205.2593865,318.2748662,552.5688071,372.0329435,361.4507555,469.7333476,480.8068084
Aanat,aralkylamine N-acetyltransferase,3.016224594,0.001830718,0.00807133,0.391191317,0.56971309,0.533056301,0.632097775,1.050229673,0.23521073,0.202136889,0.36757704,0.12243799,0.10991126
Aar2,AAR2 splicing factor homolog,-1.337733307,0.000322859,0.001820909,27.7745835,25.29526118,27.51903156,26.20332593,23.54725477,36.63407117,35.27288707,34.30719035,31.52778235,36.54549407
Aarsd1,alanyl-tRNA synthetase domain containing 1,1.309584033,0.000166818,0.001036905,85.61501393,97.3069957,102.613338,101.537888,96.34475369,77.20792208,70.59630836,68.79816923,67.58577033,84.85149299
Aasdhppt,aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase,-1.350684714,0.001713676,0.007629768,17.82714716,17.94596232,19.12339481,17.12410335,17.6880787,25.87318028,24.45856353,19.97168581,23.814189,26.98321442
Aass,aminoadipate-semialdehyde synthase,-1.871839876,1.76E-06,1.95E-05,9.276822658,6.950499693,5.463827089,9.136686015,6.854130498,12.05454991,16.57522487,18.07253778,14.20280681,9.782102171
Aatk,apoptosis-associated tyrosine kinase,1.613622537,4.83E-09,1.02E-07,433.8311704,477.5335117,405.3893172,492.5765568,441.3175637,286.9570904,249.7401259,269.9240727,278.8525216,309.3452423
Abat,4-aminobutyrate aminotransferase,-1.531812485,0.000466532,0.002495145,67.62021335,70.41653787,56.50396794,117.1104786,65.61171694,108.9025679,97.02570655,153.463414,112.7653885,105.8994993
Abca1,"ATP-binding cassette, subfamily A (ABC1), member 1",-1.400391228,0.000946367,0.004589614,39.7338609,30.42267898,22.92142096,27.58244835,26.80849428,37.45730873,41.7412675,54.21761333,35.56823602,37.6995623
Abca13,"ATP-binding cassette, subfamily A (ABC1), member 13",-2.006900966,0.00823867,0.028806819,0.614729212,0.398799163,0.466424264,0.574634341,0.994954427,0.70563219,1.061218665,2.205462237,0.857065928,1.373890754
Abca2,"ATP-binding cassette, subfamily A (ABC1), member 2",1.451121175,0.000100084,0.000665469,769.0262446,839.7001227,689.841486,870.4560991,736.2110008,535.2220158,563.0523033,457.9397284,539.7678777,595.1694748
Abca5,"ATP-binding cassette, subfamily A (ABC1), member 5",-1.487029438,0.002171064,0.009322867,8.159133181,6.779585766,5.463827089,9.366539752,6.633029514,11.70173381,11.92607643,10.10836859,11.08063807,9.39741276
Abca7,"ATP-binding cassette, subfamily A (ABC1), member 7",2.078261578,4.53E-13,2.40E-11,56.10801174,56.34462456,53.10573402,91.99895793,62.95850514,31.22422439,31.88709418,37.37033235,25.28344488,28.46701643
Abcb1a,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A",-2.034229028,3.70E-06,3.73E-05,34.53660483,32.58758872,25.1202782,55.5096773,37.31079102,53.56924372,72.36500613,110.9470031,74.68717373,65.06746613
Abcb6,"ATP-binding cassette, subfamily B (MDR/TAP), member 6",1.887058997,7.14E-16,6.29E-14,78.46180128,76.62641055,73.82829773,73.84051277,77.33006908,42.74955015,38.70921418,49.31658614,33.4255712,37.25991726
Abcb7,"ATP-binding cassette, subfamily B (MDR/TAP), member 7",-2.329453085,3.25E-12,1.42E-10,7.767941864,6.950499693,4.664242637,6.263514312,4.532570168,12.81898478,15.5140062,12.68140786,15.91693866,13.51908502
Abcb9,"ATP-binding cassette, subfamily B (MDR/TAP), member 9",1.445761237,1.30E-06,1.49E-05,51.13429357,63.46603818,62.56748337,60.33660576,63.67708333,43.45518234,44.62171817,40.31094867,35.62945501,44.18432666
Abcc10,"ATP-binding cassette, subfamily C (CFTR/MRP), member 10",1.950450864,1.64E-10,4.74E-09,18.38599189,20.56664253,18.52370647,22.41073928,19.8438133,11.4077204,9.3488311,11.08857403,9.305287219,10.00192469
Abcc3,"ATP-binding cassette, subfamily C (CFTR/MRP), member 3",1.970657375,0.00077445,0.003856079,5.81198528,5.583188278,3.931290222,8.274734505,4.36674443,2.293304616,2.526711108,4.533450154,2.326321805,2.527958988
Abcc4,"ATP-binding cassette, subfamily C (CFTR/MRP), member 4",-1.476932089,0.012070727,0.03966129,18.162454,9.571179905,8.129108595,12.64195549,11.44197591,12.34856332,21.93185242,23.95377041,15.61084369,14.78306452
Abcc5,"ATP-binding cassette, subfamily C (CFTR/MRP), member 5",1.501132774,4.57E-09,9.76E-08,133.2285856,130.4642975,115.8731135,139.6936082,129.1782498,90.67373636,79.28819457,94.8348762,86.74731572,80.56495384
Abcc6,"ATP-binding cassette, subfamily C (CFTR/MRP), member 6",2.431671185,5.15E-05,0.00037392,7.71205739,5.925016131,5.330563013,14.19346821,6.96468099,2.175699251,3.436327107,4.778501514,3.305825723,2.802737139
Abcc9,"ATP-binding cassette, subfamily C (CFTR/MRP), member 9",-1.739757481,0.000465792,0.00249274,8.103248707,8.374782416,7.12962803,10.40088156,10.50229673,10.46687748,12.93676087,23.95377041,16.59034761,13.62899628
Abcd4,"ATP-binding cassette, subfamily D (ALD), member 4",1.938151979,7.12E-07,8.75E-06,14.25054083,11.73608964,12.26029493,13.3315167,12.93440755,6.527097753,6.822119992,8.760586108,5.632147527,5.550518648
Abce1,"ATP-binding cassette, subfamily E (OABP), member 1",-1.224752589,0.012629305,0.041140916,92.37703526,92.00866396,104.9454593,78.32266062,92.08855975,122.3095795,115.8244372,90.05637468,112.3980746,122.3312328
Abcf1,"ATP-binding cassette, subfamily F (GCN20), member 1",1.29853854,0.002976018,0.012164829,136.0228093,145.4477518,146.1240586,148.542977,139.8463722,96.9068207,96.01502211,139.8018007,112.8878265,105.8445437
Abcf2,"ATP-binding cassette, subfamily F (GCN20), member 2",1.17943114,0.013664554,0.04385737,108.974724,121.1210028,138.061582,135.1539969,123.8718262,110.4314377,101.0684443,109.3541693,104.6844812,106.1742775
Abcf3,"ATP-binding cassette, subfamily F (GCN20), member 3",1.204217898,0.011100408,0.037054599,77.56764969,81.01320133,84.42279172,100.3886193,80.86768482,72.4449048,73.47675902,64.69355895,67.03479938,74.57479015
Abcg1,"ATP-binding cassette, subfamily G (WHITE), member 1",-1.258308674,0.001592692,0.007171084,68.62613388,82.95022584,74.76114626,72.05914631,74.84268301,99.258928,97.48051455,86.74818133,88.88998054,97.21650978
Abcg2,"ATP-binding cassette, subfamily G (WHITE), member 2",-1.917475064,0.000106179,0.000701917,12.46223767,13.04642975,9.395117311,16.83678618,15.20069264,19.22847717,18.04071731,43.49661634,24.85491191,22.91649778
Abhd10,abhydrolase domain containing 10,-1.400299972,0.011431608,0.03799029,4.917833698,6.323815294,6.396675616,6.608294917,4.753671152,9.584837242,7.226393769,6.555123871,8.81553526,8.408211417
Abhd11,abhydrolase domain containing 11,1.731811486,2.62E-07,3.57E-06,19.72721927,19.37024504,19.25665889,20.05473849,23.16032805,11.70173381,10.66272088,13.90666466,9.978696163,12.41997242
Abhd13,abhydrolase domain containing 13,-1.305615803,0.011421295,0.037963369,27.88635245,27.91594139,31.45032178,23.10030049,30.78831199,43.16116893,38.20387195,26.09796981,37.83333883,38.90858616
Abhd14a,abhydrolase domain containing 14A,1.508546496,1.35E-05,0.000117721,22.96851875,26.43468736,24.12079764,22.41073928,21.39152018,16.111935,15.71614309,15.92833838,15.5496247,14.45333074
Abhd17b,abhydrolase domain containing 17B,-1.813210996,9.31E-08,1.40E-06,14.13877188,15.38225342,12.92661531,9.309076318,13.32133427,26.57881247,19.65781242,18.13380062,27.54854769,26.15887996
Abhd17c,abhydrolase domain containing 17C,-1.507447677,0.001138073,0.005381008,30.73646061,31.67604778,43.84388078,17.41142052,35.81835937,51.9815713,51.89864616,37.67664655,44.68986625,54.02138446
Abhd3,abhydrolase domain containing 3,-1.542970526,3.05E-06,3.16E-05,106.0687314,80.72834479,76.89337147,83.72422342,85.56608073,123.3092251,105.313319,167.247553,143.191229,129.2556422
Abhd5,abhydrolase domain containing 5,-1.530853905,0.002287161,0.009750679,7.097328178,4.215876863,3.864658185,5.746343406,4.256193938,7.056321896,8.843488878,7.41280363,7.713593353,7.583876964
Abhd8,abhydrolase domain containing 8,1.294638372,0.011084804,0.037024109,415.3892941,417.4287807,472.2212509,461.4313755,435.4031123,336.9981732,290.1169694,445.4421091,311.5434649,316.7092967
Abi1,abl-interactor 1,-1.677805073,6.21E-05,0.000439097,103.4980456,85.62787736,110.8757107,66.1404126,115.9121908,179.4069842,164.7415642,105.6783989,167.066637,191.8501049
Abi2,abl-interactor 2,-1.945431171,3.54E-13,1.91E-11,133.9550838,139.6366783,129.6659453,84.58617494,140.9518772,258.5553948,241.9578557,218.7696014,256.6300265,247.4102471
Abl2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",-1.382188507,0.008927961,0.03077198,19.33602795,18.74356065,15.25873663,11.20536964,14.97959165,23.87388908,20.92116797,17.27612086,23.14078006,24.73003358
Abr,active BCR-related,-1.395961748,0.001019666,0.004900793,530.6789636,572.4477124,617.5457251,406.2664788,576.5760905,793.7774106,763.2183573,748.938218,705.6101348,762.3994574
Abtb1,ankyrin repeat and BTB (POZ) domain containing 1,1.770438252,7.38E-09,1.50E-07,24.58916849,33.55610097,27.25250341,40.10947697,29.90390806,17.34679133,17.73751198,17.82748642,16.83522359,18.0254467
Acaa1a,NA,1.248574296,0.008764884,0.030307255,38.83970932,38.05683438,35.84803626,38.84528142,39.46652561,28.04887954,27.99595908,37.30906951,29.14024156,30.61028601
Acaca,acetyl-CoA carboxylase alpha,-1.392042462,1.79E-06,1.97E-05,72.03508678,74.80332866,67.89804638,61.02616697,66.66194661,97.78886094,87.575807,100.2872689,95.99138395,95.12819583
Acacb,acetyl-CoA carboxylase beta,2.344423283,1.09E-07,1.62E-06,23.97443928,18.17384756,12.59345512,21.72117807,19.01468461,6.527097753,8.439215101,12.1300423,7.223841394,6.429808731
Acads,"acyl-CoA dehydrogenase, C-2 to C-3 short chain",1.529862014,3.43E-06,3.51E-05,39.51032301,30.70753553,33.71581106,34.420597,34.54702872,19.4636879,23.54894753,24.38261029,21.91640016,23.68587661
Acadvl,"acyl-CoA dehydrogenase, very long chain",1.387125515,1.78E-05,0.000149317,77.45588075,73.83481641,68.16457453,88.95339592,66.44084563,49.10023986,58.41756082,56.79065261,53.32174453,52.59253808
Acan,aggrecan,-1.690848027,0.005153558,0.019351767,4.470757907,5.184389115,4.86413875,8.274734505,4.422019676,11.0549043,10.51111821,4.288398794,8.999192245,11.15599293
Acap2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",-1.493961164,1.55E-05,0.000132256,28.61285061,24.55463416,18.3904424,19.02039667,22.11009838,31.22422439,30.47213596,34.18466468,36.11920697,36.54549407
Acap3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",1.367261852,0.000150863,0.00094942,144.237827,174.7310046,166.9798864,117.685113,160.8509657,109.0201733,100.8157732,137.2900243,98.37892475,113.6482432
Acat2,acetyl-CoA acetyltransferase 2,-1.444777868,7.38E-05,0.000510751,34.36895141,41.64602685,46.50916229,32.86908428,46.59703233,65.56499095,57.76061593,49.56163749,57.30097919,61.5503058
Acbd4,acyl-CoA binding domain containing 4,1.420714572,0.000857656,0.004212945,95.78598817,90.58438124,118.9381872,55.22236013,97.94773582,65.09456949,66.70517325,55.81044717,58.52535909,76.44328157
Acbd5,acyl-CoA binding domain containing 5,-1.801322224,7.81E-11,2.47E-09,32.18945693,23.70006453,22.32173262,21.83610494,23.49197953,38.5745597,41.99393862,45.39576438,51.85248865,44.89874985
Acd,adrenocortical dysplasia homolog (mouse),1.860818888,1.86E-12,8.72E-11,50.18425751,55.49005492,54.3051107,55.1648967,53.34061234,28.28409027,27.33901419,37.18654383,23.63053202,27.8625045
Ace2,angiotensin I converting enzyme 2,-2.716599923,1.71E-05,0.000144409,0.950036055,0.968512252,0.533056301,1.494049286,0.608027705,2.116896569,2.829916441,3.675770395,1.775350851,2.088313947
Acin1,apoptotic chromatin condensation inducer 1,1.61457541,1.01E-12,5.05E-11,189.5042508,172.7939801,175.7753154,190.1465033,189.9810203,112.4307289,120.2209145,122.0355771,107.500555,106.5040113
Acly,ATP citrate lyase,-1.633245909,1.46E-10,4.24E-09,178.2155871,183.6755001,181.3724065,167.9081543,187.4936343,342.4668227,264.546653,286.0974624,295.9326212,278.7899119
Acox1,"acyl-CoA oxidase 1, palmitoyl",-1.483193637,1.44E-05,0.000124623,48.39595435,43.2412235,40.17911871,49.18869955,43.50161856,64.50654266,58.31649237,84.48145625,65.19822953,60.67101571
Acp1,"acid phosphatase 1, soluble",1.224969853,0.004661284,0.017763578,88.2415842,87.33701663,113.9407844,91.30939672,97.67135959,82.26495277,73.27462213,71.06489431,82.52320508,81.38928829
Acr,acrosin,3.871499027,7.80E-09,1.58E-07,2.961877114,2.16490974,3.065073733,3.792586648,3.205964265,0.764434872,0.505342222,0.796416919,0.795846933,1.044156973
Acrbp,acrosin binding protein,4.779385341,8.56E-10,2.15E-08,2.458916849,2.848565448,2.398753356,2.873171703,2.100459346,0.294013412,0.505342222,0.673891239,0.489751959,0.659467562
Acsl3,acyl-CoA synthetase long-chain family member 3,-1.520635954,6.99E-08,1.09E-06,189.8395576,199.34261,192.4333248,183.3658181,197.8853805,285.4870234,263.9402423,293.2039519,326.9094326,294.7270446
