Gene_symbol,NAME,Foldchange,PValue,FDR,FIB1-052,FIB2-063,FIB3-067,FIB4-211,FIB5-226,F1-064,F2-065,F3-093,F4-210,F5-213
AA926063,NA,10.8463266,0.004010701,0.023572653,0.261070251,0.251319496,2.675594865,0.586715069,0,0.293271729,0,0,0,0
Aacs,acetoacetyl-CoA synthetase,1.633159427,3.28E-05,0.000502108,67.87826527,80.92487787,53.62338042,91.17552179,73.48337119,39.44504757,41.82664919,44.06908615,48.25277392,51.11670676
Aadat,aminoadipate aminotransferase,-1.751378101,0.002533343,0.01658118,8.615318284,8.54486288,5.462672849,8.683383027,11.55279805,16.71648856,19.14514263,9.169654572,18.27960238,11.88118049
Aagab,alpha- and gamma-adaptin binding protein,1.534533095,0.00141366,0.010389431,40.72695916,46.99674584,27.6478136,52.4523272,43.27564515,21.99537969,27.19341915,27.3721032,30.37639807,30.5318708
Aak1,AP2 associated kinase 1,1.634137741,0.000474633,0.004355159,549.2918082,617.3663431,382.8330319,710.8639781,569.5908218,309.4016743,232.546414,408.2549192,329.9737047,451.6230119
Aar2,AAR2 splicing factor homolog (S. cerevisiae),1.523271179,0.000494293,0.004494716,35.37501901,38.20056347,30.99230719,35.90696225,35.51064974,19.0626624,20.36457847,23.9505903,23.79036486,28.32141861
Aars2,"alanyl-tRNA synthetase 2, mitochondrial (putative)",1.474600176,0.004440232,0.025580504,21.40776058,24.62931066,27.87077984,24.75937593,21.49577997,15.83667337,13.90156853,14.78093573,22.17745877,14.78239898
Aatk,apoptosis-associated tyrosine kinase,1.50156813,0.000271538,0.002781484,324.6408572,433.6517912,350.7258935,337.713194,321.1109687,261.1584748,188.8906111,221.7140359,259.2746543,246.3272653
Abat,4-aminobutyrate aminotransferase,1.760570401,3.35E-07,1.19E-05,99.33723052,121.0103376,135.1175407,130.0160594,111.1720074,61.73369899,68.28840684,79.5159598,53.49471872,75.84614058
Abca2,"ATP-binding cassette, sub-family A (ABC1), member 2",1.689405203,0.000103642,0.001252167,576.0515089,807.3638825,1032.779618,531.3291669,607.6582383,502.2278362,361.5627255,385.3992131,442.6083134,412.6637922
Abca5,"ATP-binding cassette, sub-family A (ABC1), member 5",2.457077114,1.88E-08,1.09E-06,14.61993406,21.86479619,27.20188113,24.64203292,19.41248852,7.331793229,7.804389353,9.990817668,7.795712778,10.91410766
Abcb10,"ATP-binding cassette, sub-family B (MDR/TAP), member 10",1.612427896,0.000126149,0.001472282,33.67806238,33.17417354,28.98561104,35.90696225,33.42735829,16.5698527,23.04733731,23.67686927,17.74196701,21.27560227
Abcb1a,"ATP-binding cassette, sub-family B (MDR/TAP), member 1A",-1.460350341,0.008465782,0.042286581,34.46127314,48.88164207,60.86978318,36.49367732,74.71440705,67.01259011,84.01912913,84.57979889,76.20981285,61.61635464
Abcb1b,"ATP-binding cassette, sub-family B (MDR/TAP), member 1B",-4.188982427,8.79E-05,0.001097094,5.090869895,0.502638993,0.334449358,0.821401097,2.935547045,5.865434583,8.901881605,9.58023612,7.795712778,8.565502214
Abcb7,"ATP-binding cassette, sub-family B (MDR/TAP), member 7",1.673724464,0.002223799,0.014925011,8.74585341,14.82785029,15.94208607,16.78005099,14.29895496,6.158706312,8.170220104,8.759073024,9.408618871,9.670728307
Abcb8,"ATP-binding cassette, sub-family B (MDR/TAP), member 8",1.368225631,0.00452273,0.025925286,50.38655845,57.5521647,46.26549454,56.20730365,52.17698135,31.23343916,39.02194676,39.41582861,42.33878492,39.78813932
Abcb9,"ATP-binding cassette, sub-family B (MDR/TAP), member 9",1.330996655,0.009280236,0.045442981,59.65455236,68.86154204,51.61668427,72.16595354,59.18441623,45.75038975,44.75329519,50.63839092,50.94095074,41.86043824
